餐廳名稱,Google Map地址,評分,評論1,評論2,評論3,評論4,評論5,Google Map網址
gubami Social,110台灣臺北市信義區松壽路9號6樓,4.4,"[Percy Cheung] (5分, 2 months ago): We didn't know what to expect... good places are usually not available at last second which we were able to make a reservation for...and when got there we were the only people there...

BUT BOY WERE WE SURPRISED when the food we ordered made it's way to our table.  The server presented dish after dish and explained with excitement the ingredients and combinations!  The way he introduced the dishes really had us excited to try the dish.  As each dish arrived, we enjoyed and looked forward to the next one coming.  We ordered: Truffle Stuffed Fried Chicken Wings,  Char Siu Pork Ribs with Dark Plums, Szechuan Red Oil and Burrata Salad, Stinky Tofu Truffe ""in Memory of HK Shrimp Toast"" and the Braised Beef Trio with Tomato Salsa.  Each dish was very well prepared.  The flavour combinations were very tasty and kept us wanting more.

Thanks for the great service and experience.  We look forward to coming and trying other dishes!","[XO Handsome] (3分, 5 months ago): Gubami Social is a popular restaurant in Taipei founded by award-winning chef Lanshu Chen.  Online reservation is straightforward.  The main dining room is spacious and clean.  Young servers are patient and helpful.  While the westernized Taiwanese cuisine is unique, most of the dishes have different strong flavors, which do not quite harmonize with one another.  For example, the pungent Bread Basket with Fermented Bean Curd (NT 220) clashes with the fishy BBQ Squid with Do Ban Sauce (NT380/medium; NT 580/large).  Highlight of the lunch is the rich and savory Rice Vermicelli “Bouillabaisse” of Golden Pomfret (NT 1,180).  Price is not cheap as a mall restaurant.","[Precious Tendani Kharivhe] (4分, 10 months ago): I absolutely loved the food at Gubami Social—explosive flavours that even made the simplest pita bread come alive! Their signature beef noodle soup was a standout, and I’d highly recommend it to anyone visiting.

The atmosphere was great—intimate and stylish, with private rooms available for larger groups, making it perfect for gatherings.

The only downside was the service which was a bit slow, likely because they were busy. My waiter wasn’t as attentive as I’d hoped, but it didn’t ruin the experience.

Overall, I’d definitely come back for the incredible food and vibe—hopefully, they can improve the service next time!","[Bryan Shu . The truth] (4分, a year ago): I entered it by chance.
A casual, but nice ambience.
Knowledgeable staff, simple but good and tasty dishes.
A cross between French and Taiwanese cuisine.
More Taiwanese than French
All in all, we ate reasonably well

If you do not have high expectations, you can try it.","[James Pan] (5分, 3 years ago): A place for group of people the have drinks and share some food. The flavor mainly come from Taiwanese or Chinese food but the presentation comes from the French fine dining. You cannot category the food into a simple type. It is mixed with some there some there. The price is high but the dishes totally worth the price. Cocktails and wine can be choice for the flavor you ordered. The staffs are super friendly and helpful providing good suggestions if you cannot make a decision. Still lot of flavors to try. Definitely come back when I have free time.",https://maps.google.com/?cid=17696897093713024970&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
URBAN PARADISE 信義店,110台灣臺北市信義區松高路11號5樓,4.8,"[Stephanie Lee] (5分, 7 months ago): Urban Paradise truly lives up to its name. This bistro-style buffet offers an elevated dining experience that blends style, flavor, and atmosphere seamlessly. The space radiates good vibes—modern yet warm, making it the perfect spot for both casual gatherings and special occasions.

The food selection is outstanding, with a creative fusion of flavors that feels both familiar and refreshingly unique. Every dish I tried was delicious, beautifully plated, and thoughtfully crafted. The cocktails deserve a special mention—they are not only visually stunning but also perfectly balanced, easily some of the best I’ve had in Taipei.

Service was attentive and professional, adding to the overall polished experience without ever feeling intrusive. Urban Paradise strikes that rare balance of great food, amazing drinks, and inviting atmosphere. A must-visit if you’re in Taipei and looking for something truly memorable.","[Christopher Lee] (5分, 5 months ago): The latest buffet spot at Taipei. Lot of quality wines & beers plus cocktails. Fresh seafood and creative food combinations. Friendly & efficient staffs. Will come back again when we visit Taiwan. Just around $60USD per person.","[Cindy] (5分, 4 months ago): Nice atmosphere. The food was great and the people were amazing. There’s free-flow tap beer, mocktails, juices (they taste like real fruit juice, not cordial), coffee, and fizzy drinks. Huge scallops and oysters. I recommend the Western-style soup with the crushed pastry on top. We really enjoyed it.","[陳宥宇] (5分, a month ago): The waiters and waitresses at the restaurant are very friendly, but you have to make a reservation a month in advance😆","[RB] (3分, 2 months ago): The food was decent. The buffet offer international and local cuisines, featuring renowned dishes from all over the world. Some dishes though did not hit the criteria. The grill and teppanyaki section was terrible, their ingredients were not fresh and tasted average, with their meats being extremely dry, as if being left out all day. The alcohol section was extensive, including numerous wine, with a bar offering cocktail and mocktail. The western section was probably the best in my opinion. The corn soup was really good. The dessert section was decent, though some cakes tasted dry. Overall, its a decent experience but I would not be back, instead I would go to sunrise buffet (旭集) for a better experience. They have better quality meats and teppanyaki section, their desserts are much better than this buffet.",https://maps.google.com/?cid=4725635850657962532&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
老井極上燒肉 台北信義店,110台灣臺北市信義區松仁路99號B1,4.9,"[Vince Cheong] (5分, 3 months ago): Ok place to grab supper till past 12 midnight. Not the best of the best, but still quite alright. Not the best value for money, but it’s alright.
The food is fresh and wait staffs were very friendly, albeit very hard to communicate in English.
Our server Yuan (長遠） tried his very best to accommodate us 😅😅😅.","[Olga Maevskaia] (4分, 5 months ago): Visited in September 2025.
Taiwan 🇹🇼 Taipei.

Located within a bustling business mall, Gokujo Yakiniku is a trendy, spacious restaurant with built-in tabletop grills for an authentic yakiniku experience. The interior is bright, clean, and airy, creating a welcoming and open atmosphere that enhances the dining vibe.

FOOD:

The menu revolves around yakiniku-style dining, where you grill premium meats and seafood at your table. Options include curated sets or an à la carte selection for personalized picks. Our meal started with appetizers, including scallop nigiri and cod liver. The scallops were fresh and sweet, but the oversized rice portion overwhelmed their delicate flavor. The cod liver, however, was a highlight—juicy, rich, and perfectly complemented by a fresh onion topping and light dressing. For the main course, we ordered Wagyu tenderloin A5 with sea urchin roe and thin-sliced Wagyu ribeye. Unfortunately, only one portion of the tenderloin was available, and the roe was out of stock. After a brief mix-up, the staff resolved the issue by offering the tenderloin gratis. The tenderloin was melt-in-the-mouth tender, skillfully grilled by our experienced server, though I prefer bolder, wilder flavors with the sweet fattiness of Wagyu. The ribeye, thinly sliced, was exceptional—rich, fatty, and sweet, pairing beautifully with egg yolk and practically dissolving on the tongue. The beef tongue was another standout, packed with flavor and perfectly grilled.

SERVICE:

The service was generally strong, despite a minor hiccup with the tenderloin order. The staff spoke some English, which helped with ordering, and the experienced server expertly handled the grilling, elevating the experience. Dishes arrived promptly, and the staff’s quick resolution of the ordering issue left a positive impression.

VERDICT:

Gokujo Yakiniku is a fantastic yakiniku spot with an impressive selection of meats, seafood, and appetizers. For the best experience, focus on the grill offerings and skip the sushi or nigiri. The bright, lively atmosphere and high-quality ingredients make this a standout dining destination in the business mall, perfect for a fun and flavorful meal. Highly recommended for yakiniku enthusiasts!","[TungChen Wu] (2分, 2 months ago): Sorry, I don’t understand why the ratings of this restaurant are so high, really don’t. Consider the price, the food is average, the atmosphere is quite low, staffs are kind but I don’t feel any “service” at all. The rationale I use present tense is I am sitting inside for the lunch with my wife RIGHT NOW, and I cannot wait to share our confusing immediately 😶😶","[Katherine Yu] (5分, 2 months ago): Excellent Japanese BBQ place close to Taipei 101.  We didn’t make reservations so we had to wait for about 30 min.  This place has great A5 and Wagyu from different area.  We tried the Wagyu premium 2 ppl set for T¥3290.  It was superb! The set comes with Salad, rice, apps and dessert and had enough meat and seafood to fill up my son and I. The quality of the meat and seafood was great.","[Isa Charm] (5分, 5 months ago): Excellent food & service, sets comes with complimentary drinks, yoghurt drinks, appetisers, icecream desserts. The sets provide good selection of beef cuts, choice of salad & dressings. The staff may assist to bbq depending in the set selected. The ambience is nice and the restrooms are clean and well kept.",https://maps.google.com/?cid=2380696932994618647&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
默爾 pasta pizza(台北信義威秀店),110台灣臺北市信義區松壽路20號2樓,4.7,"[Ryan Liu] (4分, 5 months ago): The menu appears to include a variety of items but about half were unavailable when we visited for lunch, including #2 dishes the menu recommended. Disappointing. Our waiter was friendly and attentive, but had to double-check the menu and run to the kitchen twice while taking our order, so it felt like the kitchen wasn’t sure what they could actually make. Note that there’s a 10% service charge as well.

What we ordered: Truffle chips (220 NTD) — these were excellent; Truffle Mushroom Chicken with cream (420 + 50 NTD) — I had this and it was delicious, the upgraded portion was just right for me; Stir-fried Mixed Seafood (470 + 50 NTD); and Paccheri Carbonara (370 NTD).

The food is very good, and worth the premium price. However, the inconsistent availability and what looked like poor kitchen management bring the experience down a notch. Highly recommended if you’re willing to spend a bit more, and hopefully they can improve the kitchen efficiency.","[黃柄霖Andrew] (3分, 5 months ago): 7.5/10 Overall

I wanted the order the cabonara pork pasta, but they only have it in penne and not spaghetti. And somethings are out of stock. Unlucky for me.
For the Truffel Chicken Pasta, the taste is so mild that i cant really taste anything. But for the smell, it is amazing. 6/10
For the Bolognese Pasta, the taste is goodddddd, but the meat is too little. it has more sauce than the meat. 7.5/10

For the service though, it is over the top. Especially the male waiter that greet us, his service is amazing!! His salary needs to be raised, it is hard to find this type of person in this industry. 10/10 for his service.
09/28 Night around 8-9pm","[jodz] (5分, a year ago): Everything here is of high standard. Delicious food, great service and comfortable atmosphere. At first, they served a bun with some spread (if you ordered a pasta or a risotto). Bun was soft on the inside and nicely toasted on the outside. Good first impression. Food came and we were very surprised as we didn’t check the reviews and left satisfied and pleased. Will strongly recommend the pizza and clams. Food is great for sharing and place is great for celebrations. Thank you to the kitchen crew for the good food and thank you to the service team, very professional as well!","[Tina Hsu] (5分, a year ago): The quality of food is good.

I highly recommend the shrimp Teppanyaki and salmon  pasta, yum yum.

You can get buy one get one free coupon in your birthday month if you join their Ocard member. However, you can’t choose different items. You have to choose the same item.","[Gwen Mann] (5分, 7 months ago): Went to the branch at Songshan Station but couldn’t find a listing for it on google maps.

Excellent all round 👏We stuffed ourselves❤️",https://maps.google.com/?cid=12589334897402742573&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Miacucina信義店,110台灣臺北市信義區松壽路11號2 樓,4.3,"[Sophia Lek] (5分, a month ago): Nice casual dining place. Was looking for vegetarian options nearby the hotel and saw Miacucina. Portions are very generous (good for sharing between 2 smaller eaters). The pesto pasta was delicious! I wished there was more asparagus and mushrooms for the amount of noodles. Delish!","[Culturetravel] (4分, 2 months ago): Healthy Italian meal options.
The bowl was the best. The flat bread was soggy. Salad did not look that fresh..

Friendly and attentive service.","[N Z] (5分, a month ago): One of the good vegetarian restaurants in Taipei. The service was good, the food was delicious, and the dishes were prepared quickly.","[Yvette Huang] (5分, 7 months ago): We visited the restaurant twice this month, and we all had wonderful time. I know it is inevitable that we should order the food online, which made me pretty mad. I still had to know the details about the cuisine, and the pictures in the menu did not help at all. However, the waiters were quick to help. Maybe they need to set two tracks. I am not illiterate, but I really hate to order food in such a cold way. If I have to dine alone, I will definitely cross this out, and prefer to go to a cozy little cafe instead of such “fancy” restaurant.","[Guy] (4分, 9 months ago): Food and atmosphere were top notch. Rare finds for a western vegetarian restaurant. It is located in A11 level 2, entry within the mall. Spent a total of NTD 1500 for a burger, pizza and pasta which was rather worth it. Food were well done, could taste that it is handmade and ingredients were fresh. Highly recommend to try their burger! Non-allium options available.

Service could be improved, just not as welcoming and friendly as it were.",https://maps.google.com/?cid=16755300232242155656&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
隱世餐酒館(台北永春店),110台灣臺北市信義區忠孝東路五段297號B1F,4.6,"[TY He] (5分, 3 months ago): This place is unique and special. The staff and bartender are extremely nice. The drink menu is original and unique. There is live performance every day which is perfect for date night or hanging out with friends. Highly recommend for everyone. Amazing experience for touring Taipei. Only downside is it’s slightly busy and reservation is highly recommended.","[Alice Hou] (5分, 7 months ago): Went there with my family for a Taiwanese Hokkien singer performance and some light bites.

I really liked their handmade bean curd rolls, which were filled with chives, coriander, and shrimp.

We also had the sous vide duck breast, turnip cake with salted egg yolk, and braised pork ears.

The duck breast was a bit dry and the texture was too firm. The turnip cake was good, while the pork ears were a bit too oily and salty.

We also ordered some drinks. As for cocktails, I’d say they were mediocre. I’d recommend going for hard liquor or beer instead.

The vibe was great, and the service was excellent.","[hoven liew] (1分, 3 months ago): Prices are reasonable but the food is just so-so. The waiter(see attached pic) who served us wasn’t friendly, bad service! Overall, not a very good experience. Probably won’t return.","[G H] (4分, 2 years ago): Came to this popular live music bistro. It actually feels like a nightclub with free pouring shot in your mouth. Food was surprisingly good, except for the sesame oil chicken, terrible. Service was OK, not so friendly, and over the phone was even worse. Great atmosphere and all singers that night were great!  Even though I didn't know many of their songs.","[Terence Lim] (1分, 6 months ago): Great band but terrible service. We went half an hour past our booking and they gave away our table which is understandable. They had a few empty tables but the male receptionist with shaggy hair claimed that they were all booked. We were willing to wait to see if they would be available but he said they will definitely come even though it was 11pm. Final snide remark that they do not sell standing tickets and so we left.",https://maps.google.com/?cid=15042333373156701&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Range Bistrokaya,110台灣臺北市信義區忠孝東路五段71巷25號,4.8,"[Phil Mcclellan] (5分, 4 months ago): Was out for a walk, just looking for a drink and some light food. And a place to sit and work a little bit. I was so happy to find this place!  It was early, so it was fairly quiet which was perfect.

I ended up eating more than I had planned because  the food looked great and I couldn't decide!
I especially loved the kale salad, and fillet.  Fillet had roasted garlic  a pepper sauce, and fries on the side which was perfect.
The staff was also very friendly.  I could practice my very limited Chinese a little bit, but the staff speaks better English than I can speak Chinese, so they could always rescue me if I don't have the words!  I will add this to my list if must-gos when I am in town.","[Elaine Wu] (5分, a year ago): My husband and I decided to check out this restaurant as we were staying at the W Taipei nearby, and it was excellent!  Coming off of a week-long tour of Taiwan filled with delicious traditional food, we were craving something a bit more current.  We're so glad we stumbled upon Range Bistrokaya. As someone with Taiwanese-American heritage, I really wanted to go somewhere exciting, and this fit the bill.  Everything was cooked to perfection with some Taiwanese inspiration, and the service is impeccable.  We loved everything about it and hope others will, too.","[Kate Shao] (4分, 2 years ago): A variety of cocktails you can choose from. Including selected and tea cocktail as well as floral herb and seasonal edition. I ordered Long Island 2.0 which was full-bodied and great. I love it! Their wine menu was showed online(google album), I thought it was a little bit inconvenient. Food was tasty but small portion. Noisy and crowded environment.","[Becky Yu] (5分, 3 years ago): First time here and this is one of my favorite restaurants in Taipei! Food quality, ingredients, and service are top-notch. Highly recommended: scallop uni rice, fried oyster, truffle egg pineapple bun, fried abalone!","[Alice Lai] (3分, 7 years ago): My cocktail tasted like juice, tho I ordered a light alcohol one.
We order 2 people set, the dishes were good>ok>what>no way! They didn’t came on with what they suppose to be, appetizer was too late, cheese snack was too early. And their main meal was not very good, they cooked the meat too much, can’t be easy to chew. Feel kinda disappointed.
However, their staffs were nice, friendly, and patient. If I have the next visit, I will never order their set meal, and maybe just grab some classical to drink.
But I’m not sure if I will give them another try.",https://maps.google.com/?cid=17019726403954245263&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
HOOTERS美式餐廳 信義店,110台灣臺北市信義區松仁路58號14樓,4.7,"[Jeny Rose Torema] (5分, a month ago): Need to have reservations to go to this restaurant especially on holiday.  Luckily I go here weekdays and reserve a sit for 1 person on the day and it has vacant. This is not a fine dining experience and expect loud atmosphere especially some costumer already drunk. They have quick activities for fun like hollahoop show. I like also how the girls waitress serve and entertain you as foreigners.  They can speak English and I don't feel discriminated here.

I ate alone with a good food and ambiance.  I reserve 22:00 and I got early in taipei so I move 21:30 in my reservations and have vacant seat for me.","[Jecel Calonia] (5分, 6 months ago): We had fun, and it’s a birthday blowout from our September babies friends. We love the ambiance since it is famous already as you can take pictures with taipei 101 from the hooters building. The foods I love is the white Pasta with mushroom, the chickens, not too with the baby back ribs since its dry and no sauce. But overall, the food is good, the view is nice, and entertainment is great. We were thankful that the rain falls heavy when we already got there anyways.","[Ladyz Buatong] (5分, a month ago): Fun American sports-bar vibe with a lively atmosphere right in Xinyi District. The menu has classic Hooters favourites — wings, burgers, pasta, salads and more — and people like coming for the cold drinks, tasty food, and great views of Taipei 101 from the outdoor terrace at night. The service is friendly and it’s a good spot for casual hangouts or group dinners.","[Kyle Mitski] (5分, a month ago): Ordered pasta and pizza and it was great, was not a big fan of the fruit beverage I ordered. I politely asked if the server could take a photo of us with the Taipei 101, but she said she’ll get back since she was really busy. Hooters Xinyi Branch could really get busy and jampacked when its near dinner time plus it was a weekend. We made an advance reservation for a 4:30 pm timeslot via their website. Eventually she came back and have taken a photo of us, I really appreciate her time and effort to do so. Regarding the reserved tables we booked, it was really chilly outside and other customers are smoking. They accept credit cards. We left even before our time limit with enough memories of Taipei 101 to get by.","[E T] (5分, 4 weeks ago): The wings are outstanding. I don’t normally go for wings but I heard about them so had to try and I was not disappointed.

I opted for the boneless and they were so juicy and big! The sauces went well, curry garlic, cheese and bbq. Thinking about it makes me want to go back.

The atmosphere was fun and the punters were friendly and talkative. The staff also tentative and spoke English well. It was an all round good time and the views are pretty nice too, with 101 right there.",https://maps.google.com/?cid=1700213275866389293&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
渣男 Taiwan Bistro 信義一渣,110台灣臺北市信義區信義路五段150巷315弄12號,4.7,"[Cassandra Yeung] (5分, 2 months ago): The atmosphere is amazing and the cocktails even better! All the cocktails were fusions of classic cocktails with asian (taiwanese) style flavours, long island ice tea as melon ice tea! it's honestly one of the best in this trip","[Yi Peng] (5分, 2 months ago): Very nice place. Great atmosphere, great food and great drink. One of places I like most in Taipei! Will visit again.","[C] (2分, 2 months ago): We were pretty excited to try a bistro bar in Taiwan but unfortunately this was not a good experience.While the food was alright (average), the service was worse.

We had 7 people in our group but the whole place only had 3 other tables there. It seemed like one server was in charge of food and the other one for drinks. We made our order and waited.... and waited... some of us ordered beer so that came at a reasonable time, but that leaves them to make 3 drinks.

I believe we waited for 45 mins to an hour for our 3 drinks and only a couple of cold dishes came (i.e. pre prepped marinated dishes). It's not a great dining experience when you have to wait so long for some food/drinks and wait again for so long for more food. These were small plates too, so we were trying to eat them slowly so we wouldn't be just sitting there waiting. I think we were there for almost 2+ hours and majority of the time we were just waiting.","[Jen Vo] (5分, 2 years ago): It’s a nice place for a catch up talk in a weekend. The foods seem to be Taiwanese style for casual drinking. Their main dishes are noodle and meat snacks. The foods taste are above average and the price is very affordable. It’s also fun to have a seat near the bar section to see how foods and drinks are prepared. The servers and the chef are also very welcoming. We even got some free drinks (the purple ones and they are not in the menu).
Highly recommend the pineapple drink :). Would come back again if there is a chance.","[Rui Zhong] (5分, a year ago): Amazing spot, chill ambience,a bit pricey, and really flavorful food. Sausage and fungus were the highlight dish. Every order comes in smallish plates. Easy to order either a paper form in English and mandarin that you can pass to a server. Cash only!",https://maps.google.com/?cid=15670842119225794768&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
心潮飯店｜台北微風信義店 SINCHAO RICE SHOPPE,110台灣臺北市信義區忠孝東路五段68號2樓,4.3,"[S T] (5分, 2 weeks ago): Sinchao Rice Shoppe offers a refined spin on Taiwanese comfort food without losing its roots. The pork cutlet was perfectly crisp on the outside and juicy inside, well-seasoned and not overly greasy. The scallop rice with fish roe was a highlight: sweet, tender scallops paired with the savory roe, all sitting on fragrant rice that tied everything together beautifully.

Even the tea cocktails were thoughtfully done, balanced and not overly sweet, which elevated the whole dining experience beyond just a rice shop.

The space feels modern yet warm, making it a great spot for a relaxed but quality meal in Taipei. Definitely worth a visit if you appreciate comfort food done with finesse.","[Happy Sunny] (5分, 5 months ago): Yesterday, upon arriving in Taipei, we followed glowing online reviews and made a reservation at Sinchao Rice Shoppe, a gem of innovative Taiwanese cuisine, and it was an absolute delight! Every dish was bursting with unique flavors and creativity, showcasing a fresh take on traditional Taiwanese fare. From the perfectly balanced tastes to the vibrant presentation, each plate was a delight for both the palate and the eyes.
This place is ideal for family gatherings or catching up with friends, as the diverse menu offers something for everyone to enjoy. The only downside is the ambiance—it’s fairly simple and not particularly upscale, but the food more than makes up for it. The incredible dishes and welcoming vibe make Sinchao a must-visit. Highly recommended for anyone looking to savor exceptional Taiwanese cuisine!","[Joey Esguerra] (5分, 4 months ago): Food – Great presentation! The taste is unique and delicious.
Service – Superb! The staff are very helpful and even offered a pillow for back support, which was such a nice touch.
Atmosphere – Gives off a luxurious vibe with a lovely view that really elevates the dining experience.

It’s definitely on the pricier side, but if you’re feeling a little boujee on your trip, this place is worth the splurge. And don’t skip the rib eye steak fried rice — it’s their best seller for a reason!","[mmats01] (5分, a month ago): I wanted to eat something on the higher end while visiting Taipei. I had my share of street food and cheap eats, but I wanted to see what the Michelin scene was like. I looked up a few places online and realized that I've never been to a Michelin rated rice shop before so I stopped by.

The restaurant is absolutely beautiful, and it's a wonderful place to have a nice meal in.

Service here is polite and well trained. They notice the little details and details matter.

I ordered seafood shrimp cake as an appetizer and the truffle fried rice with bluefin tuna as the main. Both dishes were excellent with lots of flavor. The rice was cooked well, not too oily and the tuna was seasoned and cooked perfectly.

I would recommend this place to anyone, especially those looking for a higher end meal.","[Michelle] (4分, 2 months ago): Came here for christmas dinner.
Ordered the famous steak, and I’d give it a 4/5 - the food was delicious, but it wasn’t hot enough. I know it would’ve tasted better if it was hotter.
The veggie was good, as were the mung bean tiramisu! Very unique tastes.

Very aesthetically pleasing interior!",https://maps.google.com/?cid=15451237304876423586&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
